country;Country;Contract without call for bids
http://publications.europa.eu/ontology/euvoc#AX;AX;1
http://publications.europa.eu/ontology/euvoc#BD;BD;1
http://publications.europa.eu/ontology/euvoc#BF;BF;1
http://publications.europa.eu/ontology/euvoc#UG;UG;1
http://publications.europa.eu/ontology/euvoc#BA;BA;2
http://publications.europa.eu/ontology/euvoc#VA;VA;2
http://publications.europa.eu/ontology/euvoc#1A;1A;3
http://publications.europa.eu/ontology/euvoc#RE;RE;3
http://publications.europa.eu/ontology/euvoc#GP;GP;4
http://publications.europa.eu/ontology/euvoc#MQ;MQ;5
http://publications.europa.eu/ontology/euvoc#TR;TR;5
http://publications.europa.eu/ontology/euvoc#BT;BT;11
http://publications.europa.eu/ontology/euvoc#RO;RO;13
http://publications.europa.eu/ontology/euvoc#IS;IS;40
http://publications.europa.eu/ontology/euvoc#MK;MK;43
http://publications.europa.eu/ontology/euvoc#CY;CY;102
http://publications.europa.eu/ontology/euvoc#LU;LU;136
http://publications.europa.eu/ontology/euvoc#MT;MT;298
http://publications.europa.eu/ontology/euvoc#EE;EE;327
http://publications.europa.eu/ontology/euvoc#SK;SK;386
http://publications.europa.eu/ontology/euvoc#IE;IE;391
http://publications.europa.eu/ontology/euvoc#HR;HR;429
http://publications.europa.eu/ontology/euvoc#AT;AT;494
http://publications.europa.eu/ontology/euvoc#CH;CH;544
http://publications.europa.eu/ontology/euvoc#GR;GR;544
http://publications.europa.eu/ontology/euvoc#LV;LV;559
http://publications.europa.eu/ontology/euvoc#LT;LT;662
http://publications.europa.eu/ontology/euvoc#HU;HU;711
http://publications.europa.eu/ontology/euvoc#FI;FI;722
http://publications.europa.eu/ontology/euvoc#DK;DK;870
http://publications.europa.eu/ontology/euvoc#PT;PT;1013
http://publications.europa.eu/ontology/euvoc#IT;IT;1325
http://publications.europa.eu/ontology/euvoc#BE;BE;2001
http://publications.europa.eu/ontology/euvoc#BG;BG;2671
http://publications.europa.eu/ontology/euvoc#NO;NO;3070
http://publications.europa.eu/ontology/euvoc#NL;NL;3459
http://publications.europa.eu/ontology/euvoc#CZ;CZ;3522
http://publications.europa.eu/ontology/euvoc#SE;SE;4142
http://publications.europa.eu/ontology/euvoc#ES;ES;4236
http://publications.europa.eu/ontology/euvoc#PL;PL;7132
http://publications.europa.eu/ontology/euvoc#FR;FR;12340
http://publications.europa.eu/ontology/euvoc#SI;SI;16206
http://publications.europa.eu/ontology/euvoc#DE;DE;25504
http://publications.europa.eu/ontology/euvoc#UK;UK;1272736
